title,tags,genre,actor,language,rating
Asur,"myth thriller murder cbi sacrifice",Thriller,Arshad Warsi,Hindi,8.5
Panchayat,"village comedy drama rural life",Comedy,Jitendra Kumar,Hindi,9.1
Sacred Games,"crime thriller politics police gang",Crime,Nawazuddin Siddiqui,Hindi,8.6
Mirzapur,"mafia revenge violence drugs",Action,Pankaj Tripathi,Hindi,8.5
The Family Man,"agent spy terrorism family mission",Action,Manoj Bajpayee,Tamil,8.7
Special Ops,"espionage mission patriot RAW terrorism",Espionage,Kay Kay Menon,Hindi,8.6
Scam 1992,"stock market scam fraud finance biography",Biography,Pratik Gandhi,Hindi,9.3
Delhi Crime,"true story police crime justice delhi",Crime,Shefali Shah,Hindi,8.5
Made in Heaven,"luxury wedding drama secrets romance",Drama,Sobhita Dhulipala,Hindi,8.3
Breathe,"cop thriller investigation mystery family",Thriller,R. Madhavan,Hindi,8.3
Rocket Boys,"science biography patriotism india history",Biography,Jim Sarbh,Hindi,8.9
Jubilee,"vintage bollywood drama industry dream",Drama,Aparshakti Khurana,Hindi,8.1
Taj,"historic mughal war politics betrayal",Historical,Dharmendra,Hindi,7.5
Rana Naidu,"action drama crime family underworld",Crime,Rana Daggubati,Hindi,7.0
Class,"teen thriller mystery school elite betrayal",Mystery,Gurfateh Pirzada,Hindi,6.8
Gullak,"middle class life humor nostalgia family",Drama,Jameel Khan,Hindi,9.0
TVF Aspirants,"ias exam friendship struggle motivation",Drama,Sunny Hinduja,Hindi,8.7
Kota Factory,"engineering student kota black white drama",Drama,Mayur More,Hindi,9.2
Farzi,"fake currency thriller scam action",Thriller,Shahid Kapoor,English,8.4
Mumbai Diaries,"hospital doctor crisis medical emergency",Medical,Mohit Raina,Tamil,7.9

